metadata_pattern_type,Anthropic,Human,OpenAI
Nagging,4.053571428571429,4.8618421052631575,3.84375
False Hierarchy,3.4791666666666665,4.704545454545454,3.5416666666666665
Toying With Emotion,3.5416666666666665,4.6726190476190474,3.875
Expectation Result Mismatch,5.270833333333333,4.475961538461538,4.21875
Trick Wording,4.979166666666667,4.431818181818182,4.333333333333333
Sneaking Bad Default,3.3333333333333335,4.388888888888889,3.71875
Social Pressure,2.8333333333333335,4.310185185185185,2.9583333333333335
Forced Access,4.854166666666667,4.29,4.208333333333333
Overcomplicated Process,4.857142857142857,4.285714285714286,3.71875
Social Connector,2.9166666666666665,4.1875,3.4166666666666665
Hindering Account Deletion,4.4375,4.173913043478261,3.46875
Content Customization,4.083333333333333,4.119565217391305,3.4166666666666665
Gamification,3.0,4.1118421052631575,3.0
Endlessness,3.4583333333333335,3.9107142857142856,3.125
Pull To Refresh,4.020833333333333,3.804347826086957,3.875
