metadata_pattern_type,ux_kpi,worst_aspect,worst_value
Content Customization,4.119565217391305,boring,6.217391304347826
Endlessness,3.9107142857142856,cluttered,6.095238095238095
Expectation Result Mismatch,4.475961538461538,boring,6.5
False Hierarchy,4.704545454545454,boring,6.636363636363637
Forced Access,4.29,confusing,5.92
Gamification,4.1118421052631575,complicated,6.0
Hindering Account Deletion,4.173913043478261,boring,5.913043478260869
Nagging,4.8618421052631575,boring,6.315789473684211
Overcomplicated Process,4.285714285714286,complicated,6.071428571428571
Pull To Refresh,3.8043478260869565,cluttered,6.043478260869565
Sneaking Bad Default,4.388888888888889,boring,6.333333333333333
Social Connector,4.1875,boring,5.818181818181818
Social Pressure,4.310185185185185,cluttered,6.37037037037037
Toying With Emotion,4.6726190476190474,boring,6.761904761904762
Trick Wording,4.431818181818182,boring,6.409090909090909
